beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.69432406,0.39548967,0.32409499,2.07205850
1.09550000,0.69533262,0.39586561,0.32454558,2.07100023
1.09600000,0.69853643,0.39873901,0.32866006,2.06713804
1.09650000,0.70305380,0.40252867,0.33302674,2.05534854
1.09700000,0.70549608,0.40495745,0.33635340,2.05105371
1.09750000,0.70619285,0.40593704,0.33822780,2.05254144
1.09800000,0.70924234,0.40833512,0.34073163,2.04352047
1.09850000,0.71535133,0.41342042,0.34773805,2.03454998
1.09900000,0.71694094,0.41554550,0.35025812,2.02838811
1.09950000,0.71908866,0.41759515,0.35246560,2.02118401
1.10000000,0.72439600,0.42199210,0.35847385,2.01302346
1.10050000,0.72573030,0.42343842,0.36036144,2.00982296
1.10100000,0.73130119,0.42822716,0.36690254,2.00079370
1.10150000,0.73443534,0.43118571,0.37106181,1.99580243
1.10200000,0.73561449,0.43277059,0.37251295,1.98895928
1.10250000,0.73929393,0.43550226,0.37684405,1.98692206
1.10300000,0.74128868,0.43745367,0.37951882,1.98321219
1.10350000,0.74576170,0.44232023,0.38552845,1.97052903
1.10400000,0.74663690,0.44287180,0.38671055,1.97165068
1.10450000,0.75020548,0.44605583,0.39134091,1.96687517
1.10500000,0.75270936,0.44880417,0.39434831,1.95779047
