beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.77182381,0.48225202,0.46694956,2.00780655
1.09550000,0.77463898,0.48492206,0.47229583,2.00849256
1.09600000,0.77280129,0.48352757,0.46920852,2.00688926
1.09650000,0.77350258,0.48397847,0.47076640,2.00980245
1.09700000,0.77782208,0.48807956,0.47672593,2.00118632
1.09750000,0.77752446,0.48820721,0.47634294,1.99853312
1.09800000,0.77932577,0.48962520,0.47858931,1.99634448
1.09850000,0.78108237,0.49111496,0.48103827,1.99440472
1.09900000,0.77972273,0.49046183,0.48047204,1.99736614
1.09950000,0.78462285,0.49488990,0.48700689,1.98846485
1.10000000,0.78265604,0.49307539,0.48458797,1.99317746
1.10050000,0.78507108,0.49534986,0.48741800,1.98644921
1.10100000,0.78649733,0.49671704,0.48949484,1.98394669
1.10150000,0.78728012,0.49718897,0.49114172,1.98684443
1.10200000,0.78863402,0.49860802,0.49331223,1.98428190
1.10250000,0.78940410,0.49925745,0.49434619,1.98327113
1.10300000,0.79062515,0.50051919,0.49676859,1.98295407
1.10350000,0.79254471,0.50240954,0.49936542,1.97834809
1.10400000,0.79342931,0.50399782,0.50072268,1.97124202
1.10450000,0.79570112,0.50570769,0.50386279,1.97021296
1.10500000,0.79750446,0.50735184,0.50581537,1.96504967
