beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.42635783,0.17281198,0.08079347,2.70538163
1.09550000,0.45092362,0.18846841,0.09171006,2.58190260
1.09600000,0.47485284,0.20455652,0.10389517,2.48295428
1.09650000,0.50085953,0.22204917,0.11754786,2.38405568
1.09700000,0.52821828,0.24083148,0.13246867,2.28395047
1.09750000,0.54920459,0.25613889,0.14564592,2.21997076
1.09800000,0.57768028,0.27589622,0.16216724,2.13045128
1.09850000,0.59252097,0.28672734,0.17255648,2.09890637
1.09900000,0.61146825,0.30131407,0.18524434,2.04035687
1.09950000,0.62728792,0.31394145,0.19768474,2.00574545
1.10000000,0.64446505,0.32700679,0.21084207,1.97171310
1.10050000,0.65757795,0.33822837,0.22232360,1.94341482
1.10100000,0.67122692,0.34993573,0.23403230,1.91116956
1.10150000,0.67789089,0.35653914,0.24167688,1.90116882
1.10200000,0.68912415,0.36592730,0.25211691,1.88283539
1.10250000,0.69880169,0.37411539,0.26200776,1.87198781
1.10300000,0.70981645,0.38447963,0.27417385,1.85472425
1.10350000,0.71519300,0.38933550,0.28076185,1.85220945
1.10400000,0.72020474,0.39475946,0.28715788,1.84270430
1.10450000,0.72722317,0.40147595,0.29562475,1.83409453
1.10500000,0.73261786,0.40706150,0.30340845,1.83108126
