beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.09500000,0.59304401,0.29885175,0.19707316,2.20656071
1.09550000,0.60074522,0.30461781,0.20341193,2.19212768
1.09600000,0.60661667,0.30913240,0.20768772,2.17331043
1.09650000,0.62198140,0.32035931,0.21907613,2.13461896
1.09700000,0.62689576,0.32533227,0.22504903,2.12629174
1.09750000,0.63546221,0.33170388,0.23145270,2.10359030
1.09800000,0.64480479,0.33998043,0.24059728,2.08153088
1.09850000,0.65535129,0.34887122,0.24946669,2.04966218
1.09900000,0.66049193,0.35250929,0.25374711,2.04201992
1.09950000,0.66527930,0.35630141,0.25841564,2.03555904
1.10000000,0.67741087,0.36660265,0.26930741,2.00381256
1.10050000,0.67978764,0.36944875,0.27283914,1.99893315
1.10100000,0.69182251,0.37884116,0.28392131,1.97826140
1.10150000,0.69488388,0.38205609,0.28760600,1.97035140
1.10200000,0.70102295,0.38745517,0.29409944,1.95907594
1.10250000,0.70668399,0.39251798,0.30020251,1.94847667
1.10300000,0.71316929,0.39818596,0.30750170,1.93943675
1.10350000,0.71685442,0.40173249,0.31174775,1.93165435
1.10400000,0.72190568,0.40694718,0.31795110,1.91992495
1.10450000,0.72827192,0.41225129,0.32502232,1.91244583
1.10500000,0.73262498,0.41637272,0.33032376,1.90535226
